0,1
Datasets\IAM_Words\words\c03\c03-000d\c03-000d-01-01.png,A
Datasets\IAM_Words\words\e06\e06-070\e06-070-06-01.png,more
Datasets\IAM_Words\words\e06\e06-070\e06-070-01-03.png,film
Datasets\IAM_Words\words\a06\a06-044\a06-044-01-11.png,Prime
Datasets\IAM_Words\words\c04\c04-017\c04-017-06-08.png,in
Datasets\IAM_Words\words\b06\b06-110\b06-110-07-01.png,last
Datasets\IAM_Words\words\b06\b06-000\b06-000-04-07.png,to
Datasets\IAM_Words\words\c03\c03-084d\c03-084d-05-01.png,","
Datasets\IAM_Words\words\c06\c06-020\c06-020-02-00.png,flower
Datasets\IAM_Words\words\d06\d06-037\d06-037-06-07.png,under
Datasets\IAM_Words\words\d01\d01-056\d01-056-06-05.png,texts
Datasets\IAM_Words\words\d03\d03-117\d03-117-07-06.png,I
Datasets\IAM_Words\words\c03\c03-021b\c03-021b-05-06.png,room
Datasets\IAM_Words\words\b06\b06-093\b06-093-03-05.png,independent
Datasets\IAM_Words\words\e04\e04-026\e04-026-04-07.png,5
Datasets\IAM_Words\words\e02\e02-094\e02-094-00-01.png,","
Datasets\IAM_Words\words\b06\b06-045\b06-045-05-01.png,others
Datasets\IAM_Words\words\b04\b04-026\b04-026-00-00.png,The
Datasets\IAM_Words\words\c03\c03-007c\c03-007c-00-00.png,In
Datasets\IAM_Words\words\c03\c03-000c\c03-000c-01-03.png,Honey
Datasets\IAM_Words\words\a04\a04-069\a04-069-05-04.png,Kennedy
Datasets\IAM_Words\words\c03\c03-094d\c03-094d-04-03.png,the
Datasets\IAM_Words\words\a04\a04-019\a04-019-00-02.png,that
Datasets\IAM_Words\words\b01\b01-027\b01-027-08-03.png,Royal
Datasets\IAM_Words\words\b04\b04-134\b04-134-01-01.png,tomorrow
Datasets\IAM_Words\words\c06\c06-087\c06-087-03-07.png,American
Datasets\IAM_Words\words\a03\a03-054\a03-054-09-06.png,the
Datasets\IAM_Words\words\a06\a06-057\a06-057-00-06.png,even
Datasets\IAM_Words\words\b01\b01-009\b01-009-04-00.png,South
Datasets\IAM_Words\words\b04\b04-162\b04-162-06-00.png,A
Datasets\IAM_Words\words\a01\a01-128u\a01-128u-03-02.png,devoted
Datasets\IAM_Words\words\b06\b06-019\b06-019-01-02.png,last
Datasets\IAM_Words\words\c06\c06-052\c06-052-00-04.png,new
Datasets\IAM_Words\words\e01\e01-018\e01-018-08-04.png,sentiment
Datasets\IAM_Words\words\a03\a03-054\a03-054-07-03.png,sessions
Datasets\IAM_Words\words\d06\d06-060\d06-060-00-06.png,that
Datasets\IAM_Words\words\a01\a01-096u\a01-096u-09-07.png,poor
Datasets\IAM_Words\words\d06\d06-003\d06-003-03-08.png,.
Datasets\IAM_Words\words\d06\d06-050\d06-050-05-11.png,night
Datasets\IAM_Words\words\b05\b05-098\b05-098-01-02.png,""""
Datasets\IAM_Words\words\e01\e01-029\e01-029-00-04.png,how
Datasets\IAM_Words\words\c06\c06-128\c06-128-03-04.png,sleeping
Datasets\IAM_Words\words\a01\a01-030u\a01-030u-00-01.png,Rhodesia
Datasets\IAM_Words\words\d07\d07-085\d07-085-05-01.png,Joshua
Datasets\IAM_Words\words\a01\a01-003\a01-003-08-01.png,that
Datasets\IAM_Words\words\a06\a06-008\a06-008-07-02.png,whispered
Datasets\IAM_Words\words\b01\b01-132\b01-132-04-05.png,be
Datasets\IAM_Words\words\d04\d04-005\d04-005-05-05.png,from
Datasets\IAM_Words\words\a04\a04-099\a04-099-08-00.png,while
Datasets\IAM_Words\words\a01\a01-003u\a01-003u-05-05.png,peers
Datasets\IAM_Words\words\a01\a01-132\a01-132-08-06.png,all
Datasets\IAM_Words\words\a01\a01-014u\a01-014u-06-02.png,","
Datasets\IAM_Words\words\c02\c02-049\c02-049-01-01.png,film
Datasets\IAM_Words\words\c03\c03-081e\c03-081e-03-05.png,if
Datasets\IAM_Words\words\d07\d07-102\d07-102-00-05.png,saying
Datasets\IAM_Words\words\c03\c03-087f\c03-087f-03-01.png,left
Datasets\IAM_Words\words\e04\e04-015\e04-015-04-04.png,in
Datasets\IAM_Words\words\d06\d06-041\d06-041-03-05.png,.
Datasets\IAM_Words\words\a02\a02-012\a02-012-08-06.png,Foreign
Datasets\IAM_Words\words\c02\c02-017\c02-017-02-05.png,prays
Datasets\IAM_Words\words\a05\a05-058\a05-058-00-07.png,surrender
Datasets\IAM_Words\words\b05\b05-074\b05-074-05-03.png,moral
Datasets\IAM_Words\words\a01\a01-102u\a01-102u-07-00.png,have
Datasets\IAM_Words\words\a05\a05-073\a05-073-08-08.png,had
Datasets\IAM_Words\words\d06\d06-020\d06-020-08-01.png,and
Datasets\IAM_Words\words\d05\d05-008\d05-008-05-00.png,but
Datasets\IAM_Words\words\e06\e06-010\e06-010-03-05.png,mile
Datasets\IAM_Words\words\a02\a02-027\a02-027-08-07.png,know
Datasets\IAM_Words\words\c03\c03-081a\c03-081a-08-00.png,that
Datasets\IAM_Words\words\a04\a04-010\a04-010-00-02.png,to
Datasets\IAM_Words\words\c06\c06-052\c06-052-00-05.png,book
Datasets\IAM_Words\words\b06\b06-068\b06-068-02-03.png,","
Datasets\IAM_Words\words\a03\a03-063\a03-063-09-00.png,as
Datasets\IAM_Words\words\a02\a02-032\a02-032-03-05.png,Times
Datasets\IAM_Words\words\d04\d04-032\d04-032-00-06.png,Decalogue
Datasets\IAM_Words\words\a04\a04-047\a04-047-00-04.png,of
Datasets\IAM_Words\words\b04\b04-066\b04-066-03-01.png,the
Datasets\IAM_Words\words\c03\c03-000f\c03-000f-02-05.png,It
Datasets\IAM_Words\words\b04\b04-140\b04-140-04-05.png,Lord
Datasets\IAM_Words\words\b01\b01-073\b01-073-10-02.png,it
Datasets\IAM_Words\words\a01\a01-128u\a01-128u-04-05.png,the
Datasets\IAM_Words\words\a02\a02-093\a02-093-03-08.png,Duncan
Datasets\IAM_Words\words\a03\a03-073\a03-073-06-05.png,outer
Datasets\IAM_Words\words\d06\d06-056\d06-056-08-05.png,.
Datasets\IAM_Words\words\a03\a03-080\a03-080-03-04.png,already
Datasets\IAM_Words\words\d05\d05-030\d05-030-05-07.png,with
Datasets\IAM_Words\words\b01\b01-084\b01-084-07-07.png,plough
Datasets\IAM_Words\words\d06\d06-082\d06-082-03-02.png,pernickety
Datasets\IAM_Words\words\a03\a03-043\a03-043-00-06.png,that
Datasets\IAM_Words\words\a02\a02-111\a02-111-08-01.png,deal
Datasets\IAM_Words\words\c02\c02-003\c02-003-08-00.png,new
Datasets\IAM_Words\words\a01\a01-096u\a01-096u-00-07.png,were
Datasets\IAM_Words\words\c03\c03-007e\c03-007e-04-06.png,the
Datasets\IAM_Words\words\c03\c03-021b\c03-021b-05-01.png,need
Datasets\IAM_Words\words\c02\c02-000\c02-000-04-03.png,Wunder
Datasets\IAM_Words\words\d06\d06-037\d06-037-02-00.png,which
Datasets\IAM_Words\words\b01\b01-023\b01-023-02-05.png,world
Datasets\IAM_Words\words\d04\d04-075\d04-075-07-05.png,in
Datasets\IAM_Words\words\e06\e06-010\e06-010-02-08.png,or
Datasets\IAM_Words\words\d06\d06-050\d06-050-00-02.png,she
Datasets\IAM_Words\words\c03\c03-081b\c03-081b-00-03.png,dramatist
Datasets\IAM_Words\words\a03\a03-034\a03-034-06-03.png,has
Datasets\IAM_Words\words\e06\e06-041\e06-041-03-01.png,through
Datasets\IAM_Words\words\d06\d06-091\d06-091-01-07.png,so
Datasets\IAM_Words\words\a02\a02-067\a02-067-00-05.png,why
Datasets\IAM_Words\words\a03\a03-040\a03-040-04-10.png,been
Datasets\IAM_Words\words\e02\e02-018\e02-018-02-02.png,removed
Datasets\IAM_Words\words\e04\e04-099\e04-099-04-03.png,sides
Datasets\IAM_Words\words\e02\e02-086\e02-086-03-01.png,man
Datasets\IAM_Words\words\c03\c03-087c\c03-087c-00-06.png,distance
Datasets\IAM_Words\words\c04\c04-004\c04-004-00-08.png,more
Datasets\IAM_Words\words\a01\a01-122\a01-122-07-05.png,not
Datasets\IAM_Words\words\e07\e07-072\e07-072-04-03.png,","
Datasets\IAM_Words\words\b05\b05-071\b05-071-03-09.png,can
Datasets\IAM_Words\words\a03\a03-047\a03-047-06-01.png,the
Datasets\IAM_Words\words\c06\c06-039\c06-039-02-03.png,He
Datasets\IAM_Words\words\b04\b04-140\b04-140-07-04.png,:
Datasets\IAM_Words\words\b01\b01-038\b01-038-05-04.png,","
Datasets\IAM_Words\words\a06\a06-147\a06-147-06-03.png,Berlin's
Datasets\IAM_Words\words\c03\c03-096a\c03-096a-05-02.png,he
Datasets\IAM_Words\words\e01\e01-107\e01-107-01-01.png,of
Datasets\IAM_Words\words\e01\e01-050\e01-050-01-04.png,produced
Datasets\IAM_Words\words\c04\c04-150\c04-150-02-06.png,the
Datasets\IAM_Words\words\d07\d07-089\d07-089-04-03.png,)
Datasets\IAM_Words\words\e04\e04-068\e04-068-02-08.png,seen
Datasets\IAM_Words\words\b03\b03-092\b03-092-05-09.png,the
Datasets\IAM_Words\words\a06\a06-025\a06-025-00-05.png,Five
Datasets\IAM_Words\words\c03\c03-087f\c03-087f-00-01.png,went
Datasets\IAM_Words\words\b06\b06-068\b06-068-07-06.png,to
Datasets\IAM_Words\words\a06\a06-128\a06-128-00-03.png,in
Datasets\IAM_Words\words\c01\c01-009\c01-009-02-03.png,concentrated
Datasets\IAM_Words\words\c06\c06-091\c06-091-00-12.png,I
Datasets\IAM_Words\words\c03\c03-094a\c03-094a-05-04.png,grotesque
Datasets\IAM_Words\words\c03\c03-081e\c03-081e-06-06.png,","
Datasets\IAM_Words\words\e04\e04-011\e04-011-00-07.png,glued
Datasets\IAM_Words\words\a01\a01-063u\a01-063u-09-00.png,to
Datasets\IAM_Words\words\c02\c02-022\c02-022-07-04.png,in
Datasets\IAM_Words\words\a06\a06-004\a06-004-02-03.png,like
Datasets\IAM_Words\words\b01\b01-009\b01-009-04-07.png,are
Datasets\IAM_Words\words\c06\c06-128\c06-128-04-07.png,realised
Datasets\IAM_Words\words\c04\c04-044\c04-044-07-05.png,performing
Datasets\IAM_Words\words\e01\e01-055\e01-055-06-04.png,craft
Datasets\IAM_Words\words\b01\b01-000\b01-000-06-07.png,go
Datasets\IAM_Words\words\c03\c03-081c\c03-081c-01-07.png,herself
Datasets\IAM_Words\words\a04\a04-066\a04-066-00-05.png,with
Datasets\IAM_Words\words\a05\a05-099\a05-099-01-00.png,brought
Datasets\IAM_Words\words\a04\a04-089\a04-089-08-05.png,protests
Datasets\IAM_Words\words\c06\c06-091\c06-091-01-00.png,don't
Datasets\IAM_Words\words\a04\a04-059\a04-059-02-00.png,city
Datasets\IAM_Words\words\a01\a01-011u\a01-011u-09-03.png,a
Datasets\IAM_Words\words\b06\b06-087\b06-087-00-03.png,one
Datasets\IAM_Words\words\b04\b04-128\b04-128-04-05.png,likely
Datasets\IAM_Words\words\a02\a02-053\a02-053-01-09.png,in
Datasets\IAM_Words\words\a01\a01-038\a01-038-00-04.png,two
Datasets\IAM_Words\words\a02\a02-093\a02-093-05-03.png,.
Datasets\IAM_Words\words\b06\b06-045\b06-045-06-04.png,to
Datasets\IAM_Words\words\c06\c06-058\c06-058-00-06.png,brilliantly
Datasets\IAM_Words\words\d06\d06-063\d06-063-04-02.png,high
Datasets\IAM_Words\words\b01\b01-033\b01-033-05-03.png,.
Datasets\IAM_Words\words\e06\e06-021\e06-021-01-05.png,ground
Datasets\IAM_Words\words\c04\c04-066\c04-066-07-03.png,as
Datasets\IAM_Words\words\a02\a02-050\a02-050-01-08.png,have
Datasets\IAM_Words\words\d01\d01-118\d01-118-03-06.png,Rolls
Datasets\IAM_Words\words\a02\a02-042\a02-042-05-08.png,did
Datasets\IAM_Words\words\d06\d06-076\d06-076-04-08.png,go
Datasets\IAM_Words\words\a01\a01-058x\a01-058x-07-04.png,did
Datasets\IAM_Words\words\a06\a06-004\a06-004-06-01.png,short
Datasets\IAM_Words\words\c02\c02-035\c02-035-01-10.png,intimate
Datasets\IAM_Words\words\a01\a01-117\a01-117-05-05.png,demanded
Datasets\IAM_Words\words\a01\a01-087\a01-087-00-06.png,","
Datasets\IAM_Words\words\a03\a03-037\a03-037-07-03.png,Prince
Datasets\IAM_Words\words\c03\c03-087b\c03-087b-08-02.png,.
Datasets\IAM_Words\words\b06\b06-110\b06-110-06-04.png,Admiralty
Datasets\IAM_Words\words\a01\a01-014x\a01-014x-02-06.png,night
Datasets\IAM_Words\words\d04\d04-071\d04-071-00-04.png,the
Datasets\IAM_Words\words\e01\e01-062\e01-062-00-10.png,make
Datasets\IAM_Words\words\a02\a02-027\a02-027-00-00.png,The
Datasets\IAM_Words\words\e02\e02-014\e02-014-05-07.png,tapered
Datasets\IAM_Words\words\a06\a06-044\a06-044-02-10.png,He
Datasets\IAM_Words\words\d06\d06-050\d06-050-04-08.png,a
Datasets\IAM_Words\words\c03\c03-087a\c03-087a-04-06.png,desolation
Datasets\IAM_Words\words\b04\b04-181\b04-181-06-04.png,That
Datasets\IAM_Words\words\d01\d01-104\d01-104-06-00.png,The
Datasets\IAM_Words\words\e02\e02-100\e02-100-02-08.png,tool
Datasets\IAM_Words\words\b06\b06-012\b06-012-03-06.png,he
Datasets\IAM_Words\words\d04\d04-058\d04-058-05-00.png,yield
Datasets\IAM_Words\words\d06\d06-067\d06-067-05-00.png,piece
Datasets\IAM_Words\words\b06\b06-100\b06-100-00-04.png,Edinburgh
Datasets\IAM_Words\words\c03\c03-021e\c03-021e-09-07.png,for
Datasets\IAM_Words\words\b01\b01-027\b01-027-06-02.png,pleasanter
Datasets\IAM_Words\words\d04\d04-021\d04-021-06-05.png,(
Datasets\IAM_Words\words\a02\a02-072\a02-072-00-09.png,bound
Datasets\IAM_Words\words\a01\a01-087u\a01-087u-03-02.png,","
Datasets\IAM_Words\words\d06\d06-056\d06-056-05-08.png,deep
Datasets\IAM_Words\words\a01\a01-014u\a01-014u-06-01.png,Greenfield
Datasets\IAM_Words\words\a01\a01-107\a01-107-01-09.png,for
Datasets\IAM_Words\words\c03\c03-081c\c03-081c-01-06.png,for
Datasets\IAM_Words\words\c03\c03-096b\c03-096b-00-04.png,","
Datasets\IAM_Words\words\d07\d07-096\d07-096-02-09.png,supported
Datasets\IAM_Words\words\c03\c03-016a\c03-016a-07-07.png,case
Datasets\IAM_Words\words\c03\c03-007\c03-007-03-06.png,play-grounds
Datasets\IAM_Words\words\a01\a01-030\a01-030-02-01.png,yesterday
Datasets\IAM_Words\words\e04\e04-114\e04-114-04-05.png,to
Datasets\IAM_Words\words\a04\a04-035\a04-035-04-05.png,Prime
Datasets\IAM_Words\words\b06\b06-079\b06-079-07-02.png,policy
Datasets\IAM_Words\words\b04\b04-187\b04-187-07-00.png,are
Datasets\IAM_Words\words\a05\a05-048\a05-048-07-06.png,early
Datasets\IAM_Words\words\b06\b06-004\b06-004-05-05.png,request
Datasets\IAM_Words\words\e06\e06-030\e06-030-03-07.png,of
Datasets\IAM_Words\words\b01\b01-094\b01-094-05-06.png,(
Datasets\IAM_Words\words\c04\c04-004\c04-004-00-05.png,he
Datasets\IAM_Words\words\a01\a01-087\a01-087-05-06.png,with
Datasets\IAM_Words\words\e06\e06-033\e06-033-00-04.png,""""
Datasets\IAM_Words\words\c03\c03-007f\c03-007f-07-07.png,as
Datasets\IAM_Words\words\b05\b05-058\b05-058-04-11.png,was
Datasets\IAM_Words\words\a04\a04-006\a04-006-04-08.png,had
Datasets\IAM_Words\words\d04\d04-053\d04-053-05-05.png,course
Datasets\IAM_Words\words\b01\b01-062\b01-062-05-02.png,or
Datasets\IAM_Words\words\a05\a05-022\a05-022-03-06.png,.
Datasets\IAM_Words\words\d01\d01-104\d01-104-07-05.png,one
Datasets\IAM_Words\words\e06\e06-037\e06-037-02-05.png,the
Datasets\IAM_Words\words\e04\e04-011\e04-011-07-06.png,complete
Datasets\IAM_Words\words\b04\b04-010\b04-010-03-05.png,Not
Datasets\IAM_Words\words\a05\a05-009\a05-009-06-00.png,of
Datasets\IAM_Words\words\e04\e04-030\e04-030-00-03.png,job
Datasets\IAM_Words\words\c04\c04-128\c04-128-06-02.png,is
Datasets\IAM_Words\words\c03\c03-021d\c03-021d-07-05.png,companionship
Datasets\IAM_Words\words\c03\c03-016b\c03-016b-08-07.png,her
Datasets\IAM_Words\words\d01\d01-056\d01-056-03-05.png,different
Datasets\IAM_Words\words\c04\c04-170\c04-170-01-04.png,left
Datasets\IAM_Words\words\c03\c03-081b\c03-081b-03-00.png,minds
Datasets\IAM_Words\words\c03\c03-000b\c03-000b-00-07.png,play
Datasets\IAM_Words\words\b01\b01-132\b01-132-02-09.png,people
Datasets\IAM_Words\words\c03\c03-094e\c03-094e-01-06.png,his
Datasets\IAM_Words\words\a02\a02-090\a02-090-04-09.png,happen
Datasets\IAM_Words\words\a01\a01-014x\a01-014x-05-01.png,the
Datasets\IAM_Words\words\b06\b06-075\b06-075-09-09.png,is
Datasets\IAM_Words\words\b01\b01-038\b01-038-05-02.png,the
Datasets\IAM_Words\words\c01\c01-066\c01-066-02-04.png,every
Datasets\IAM_Words\words\b01\b01-000\b01-000-04-02.png,London
Datasets\IAM_Words\words\a05\a05-121\a05-121-03-02.png,a
Datasets\IAM_Words\words\a03\a03-027\a03-027-04-00.png,and
Datasets\IAM_Words\words\b01\b01-089\b01-089-07-03.png,be
Datasets\IAM_Words\words\c03\c03-003a\c03-003a-05-04.png,to
Datasets\IAM_Words\words\a01\a01-020\a01-020-02-02.png,.
Datasets\IAM_Words\words\b04\b04-047\b04-047-04-02.png,Newton
Datasets\IAM_Words\words\e02\e02-117\e02-117-01-09.png,.
Datasets\IAM_Words\words\e02\e02-014\e02-014-05-08.png,surfaces
Datasets\IAM_Words\words\a01\a01-038\a01-038-05-04.png,Macmillan
Datasets\IAM_Words\words\a06\a06-128\a06-128-03-02.png,"70,000,000"
Datasets\IAM_Words\words\a01\a01-132x\a01-132x-01-01.png,limited
Datasets\IAM_Words\words\a06\a06-064\a06-064-05-00.png,support
Datasets\IAM_Words\words\d01\d01-118\d01-118-00-02.png,advantages
Datasets\IAM_Words\words\a06\a06-147\a06-147-01-04.png,Tunisians'
Datasets\IAM_Words\words\a02\a02-004\a02-004-01-06.png,dropped
Datasets\IAM_Words\words\e06\e06-037\e06-037-06-07.png,other
Datasets\IAM_Words\words\a04\a04-031\a04-031-05-07.png,","
Datasets\IAM_Words\words\c03\c03-087c\c03-087c-04-07.png,","
Datasets\IAM_Words\words\a06\a06-014\a06-014-03-05.png,on
Datasets\IAM_Words\words\c02\c02-030\c02-030-08-03.png,a
Datasets\IAM_Words\words\a04\a04-096\a04-096-06-00.png,there
Datasets\IAM_Words\words\e04\e04-004\e04-004-05-03.png,slide
Datasets\IAM_Words\words\d06\d06-100\d06-100-05-02.png,was
Datasets\IAM_Words\words\b01\b01-089\b01-089-00-00.png,The
Datasets\IAM_Words\words\c03\c03-081d\c03-081d-01-04.png,Irene
Datasets\IAM_Words\words\a01\a01-026\a01-026-01-00.png,in
Datasets\IAM_Words\words\a06\a06-057\a06-057-02-11.png,He
Datasets\IAM_Words\words\c03\c03-016d\c03-016d-05-05.png,experiences
Datasets\IAM_Words\words\c04\c04-061\c04-061-01-05.png,most
Datasets\IAM_Words\words\e06\e06-026\e06-026-08-03.png,herring
Datasets\IAM_Words\words\c03\c03-084e\c03-084e-07-03.png,ambition
Datasets\IAM_Words\words\b04\b04-134\b04-134-04-05.png,and
Datasets\IAM_Words\words\c06\c06-011\c06-011-04-00.png,and
Datasets\IAM_Words\words\b04\b04-103\b04-103-02-03.png,gardening
Datasets\IAM_Words\words\b01\b01-094\b01-094-03-05.png,patient
Datasets\IAM_Words\words\a05\a05-022\a05-022-00-03.png,this
Datasets\IAM_Words\words\a05\a05-029\a05-029-03-05.png,and
Datasets\IAM_Words\words\b06\b06-079\b06-079-02-02.png,not
Datasets\IAM_Words\words\b05\b05-050\b05-050-06-02.png,engineers
Datasets\IAM_Words\words\a04\a04-035\a04-035-06-00.png,state
Datasets\IAM_Words\words\b01\b01-127\b01-127-02-02.png,means
Datasets\IAM_Words\words\e01\e01-092\e01-092-02-08.png,.
Datasets\IAM_Words\words\b01\b01-136\b01-136-02-10.png,in
Datasets\IAM_Words\words\b06\b06-068\b06-068-04-03.png,the
Datasets\IAM_Words\words\a06\a06-070\a06-070-01-07.png,""""
Datasets\IAM_Words\words\b06\b06-000\b06-000-00-07.png,early
Datasets\IAM_Words\words\d06\d06-027\d06-027-00-02.png,.
Datasets\IAM_Words\words\d04\d04-066\d04-066-07-06.png,and
Datasets\IAM_Words\words\b06\b06-059\b06-059-03-01.png,stand
Datasets\IAM_Words\words\a01\a01-049u\a01-049u-06-01.png,Senator
Datasets\IAM_Words\words\b01\b01-033\b01-033-02-05.png,WEST
Datasets\IAM_Words\words\b04\b04-121\b04-121-01-02.png,into
Datasets\IAM_Words\words\a01\a01-058\a01-058-03-02.png,bluntly
Datasets\IAM_Words\words\a05\a05-017\a05-017-00-02.png,regards
Datasets\IAM_Words\words\c03\c03-094c\c03-094c-07-04.png,the
Datasets\IAM_Words\words\a06\a06-114\a06-114-05-03.png,the
Datasets\IAM_Words\words\a01\a01-117\a01-117-03-00.png,health
Datasets\IAM_Words\words\a01\a01-128u\a01-128u-02-05.png,in
Datasets\IAM_Words\words\b06\b06-004\b06-004-06-02.png,cloak
Datasets\IAM_Words\words\a02\a02-086\a02-086-00-05.png,be
Datasets\IAM_Words\words\a04\a04-081\a04-081-01-04.png,the
Datasets\IAM_Words\words\b01\b01-049\b01-049-03-05.png,than
Datasets\IAM_Words\words\c04\c04-066\c04-066-01-01.png,have
Datasets\IAM_Words\words\a01\a01-091u\a01-091u-07-00.png,censure
Datasets\IAM_Words\words\a06\a06-110\a06-110-05-05.png,think
Datasets\IAM_Words\words\c03\c03-007f\c03-007f-04-05.png,and
Datasets\IAM_Words\words\b01\b01-014\b01-014-01-01.png,while
Datasets\IAM_Words\words\c03\c03-003b\c03-003b-05-05.png,has
Datasets\IAM_Words\words\b01\b01-122\b01-122-03-02.png,change
Datasets\IAM_Words\words\b05\b05-071\b05-071-03-03.png,about
Datasets\IAM_Words\words\b05\b05-079\b05-079-02-02.png,after
Datasets\IAM_Words\words\b02\b02-102\b02-102-04-03.png,had
Datasets\IAM_Words\words\a01\a01-014x\a01-014x-05-06.png,There
Datasets\IAM_Words\words\c03\c03-016c\c03-016c-06-08.png,half
Datasets\IAM_Words\words\a05\a05-039\a05-039-07-01.png,and
Datasets\IAM_Words\words\a02\a02-102\a02-102-03-07.png,Airport
Datasets\IAM_Words\words\b01\b01-118\b01-118-08-01.png,stock
Datasets\IAM_Words\words\a02\a02-032\a02-032-02-05.png,and
Datasets\IAM_Words\words\b04\b04-075\b04-075-01-10.png,a
Datasets\IAM_Words\words\c02\c02-026\c02-026-00-02.png,of
Datasets\IAM_Words\words\a05\a05-099\a05-099-00-02.png,to
Datasets\IAM_Words\words\e04\e04-004\e04-004-00-00.png,Start
Datasets\IAM_Words\words\a04\a04-047\a04-047-03-02.png,his
Datasets\IAM_Words\words\c03\c03-087c\c03-087c-04-00.png,mable
Datasets\IAM_Words\words\d05\d05-021\d05-021-05-09.png,","
Datasets\IAM_Words\words\b04\b04-040\b04-040-03-06.png,and
Datasets\IAM_Words\words\b05\b05-079\b05-079-09-02.png,been
Datasets\IAM_Words\words\e02\e02-086\e02-086-09-01.png,enormously
Datasets\IAM_Words\words\c03\c03-021a\c03-021a-00-01.png,Fanny
Datasets\IAM_Words\words\a01\a01-043\a01-043-02-03.png,of
Datasets\IAM_Words\words\c02\c02-022\c02-022-02-01.png,monk
Datasets\IAM_Words\words\e07\e07-061\e07-061-02-07.png,large
Datasets\IAM_Words\words\b01\b01-038\b01-038-07-00.png,What
Datasets\IAM_Words\words\b01\b01-027\b01-027-01-02.png,their
Datasets\IAM_Words\words\a01\a01-087u\a01-087u-08-02.png,always
Datasets\IAM_Words\words\b03\b03-098\b03-098-03-00.png,SIR
Datasets\IAM_Words\words\e02\e02-091\e02-091-00-03.png,further
Datasets\IAM_Words\words\b04\b04-116\b04-116-02-01.png,","
Datasets\IAM_Words\words\e01\e01-092\e01-092-05-04.png,the
Datasets\IAM_Words\words\c03\c03-096a\c03-096a-07-06.png,of
Datasets\IAM_Words\words\d06\d06-060\d06-060-00-00.png,One
Datasets\IAM_Words\words\d01\d01-056\d01-056-04-04.png,parts
Datasets\IAM_Words\words\b06\b06-079\b06-079-05-04.png,accepting
Datasets\IAM_Words\words\a05\a05-104\a05-104-02-03.png,nations
Datasets\IAM_Words\words\e02\e02-000\e02-000-01-03.png,in
Datasets\IAM_Words\words\b05\b05-050\b05-050-07-04.png,optical
Datasets\IAM_Words\words\e01\e01-018\e01-018-08-03.png,delicate
Datasets\IAM_Words\words\c04\c04-035\c04-035-01-05.png,Scott
Datasets\IAM_Words\words\a01\a01-117\a01-117-05-07.png,instead
Datasets\IAM_Words\words\d04\d04-032\d04-032-08-03.png,","
Datasets\IAM_Words\words\a01\a01-007\a01-007-03-01.png,the
Datasets\IAM_Words\words\b04\b04-107\b04-107-03-04.png,valuable
Datasets\IAM_Words\words\c04\c04-105\c04-105-00-00.png,NEW
Datasets\IAM_Words\words\d04\d04-012\d04-012-01-00.png,personal
Datasets\IAM_Words\words\c04\c04-066\c04-066-07-07.png,-
Datasets\IAM_Words\words\e04\e04-058\e04-058-00-03.png,not
Datasets\IAM_Words\words\b04\b04-116\b04-116-07-01.png,from
Datasets\IAM_Words\words\a03\a03-059\a03-059-01-04.png,talking
Datasets\IAM_Words\words\a06\a06-020\a06-020-00-04.png,executive's
Datasets\IAM_Words\words\c04\c04-116\c04-116-02-00.png,Tolch
Datasets\IAM_Words\words\b03\b03-114\b03-114-03-02.png,people
Datasets\IAM_Words\words\d04\d04-021\d04-021-06-14.png,stone
Datasets\IAM_Words\words\c06\c06-005\c06-005-05-01.png,many
Datasets\IAM_Words\words\c03\c03-081f\c03-081f-02-01.png,herself
Datasets\IAM_Words\words\d01\d01-085\d01-085-03-05.png,would
Datasets\IAM_Words\words\a05\a05-029\a05-029-00-04.png,hand
Datasets\IAM_Words\words\d06\d06-063\d06-063-03-06.png,time
Datasets\IAM_Words\words\e04\e04-019\e04-019-00-01.png,amount
Datasets\IAM_Words\words\b01\b01-018\b01-018-04-05.png,would
Datasets\IAM_Words\words\b01\b01-004\b01-004-00-00.png,There
Datasets\IAM_Words\words\e06\e06-006\e06-006-08-04.png,the
Datasets\IAM_Words\words\a03\a03-027\a03-027-05-00.png,160
Datasets\IAM_Words\words\c02\c02-056\c02-056-06-07.png,1931
Datasets\IAM_Words\words\b05\b05-058\b05-058-03-07.png,now
Datasets\IAM_Words\words\b05\b05-038\b05-038-00-00.png,Hence
Datasets\IAM_Words\words\b05\b05-055\b05-055-01-08.png,good
Datasets\IAM_Words\words\d06\d06-041\d06-041-02-03.png,of
Datasets\IAM_Words\words\e01\e01-102\e01-102-07-03.png,in
Datasets\IAM_Words\words\b01\b01-062\b01-062-01-05.png,.
Datasets\IAM_Words\words\a03\a03-063\a03-063-10-00.png,is
Datasets\IAM_Words\words\a04\a04-015\a04-015-04-05.png,Governments
Datasets\IAM_Words\words\a03\a03-050\a03-050-06-00.png,gone
Datasets\IAM_Words\words\b04\b04-116\b04-116-03-00.png,caused
Datasets\IAM_Words\words\b01\b01-049\b01-049-05-00.png,WILL
Datasets\IAM_Words\words\e06\e06-033\e06-033-00-01.png,fishermen
Datasets\IAM_Words\words\c03\c03-087d\c03-087d-08-05.png,manipulated
Datasets\IAM_Words\words\a05\a05-084\a05-084-08-02.png,","
Datasets\IAM_Words\words\c03\c03-094e\c03-094e-02-00.png,always
